source,company,complaint_title,complaint_text,complaint_date,complaint_status,complaint_url
consumercomplaints.in,Blinkit,Grocery Order on Blinkit,"Address: Flat 413, Padmanabha Residency, 6-1-113/1 to 8, Padmaraonagar, Secunderabad Website: Blinkit I have ordered various items at 08:24 P.M. on 21/07/2025 and paid the amount through Gpay of Rs. 787/-. The amount debited from my account but the order was not accepted. I have waited for 5 days but the amount was not reversed back to my account. In the Blinkit App there is no provision to raise complaint against such problem. I want my money back at the earliest.","Jul 26, 2025",Unresolved,https://www.consumercomplaints.in/blinkit-grocery-order-on-blinkit-c3532526
consumercomplaints.in,Blinkit,Payment Issue,"Address: Bangalore Website: BLINKIT.COM Hi Team, Order#ORD[protected] I had placed an order on 17th June for Inr 179, I tried paying thru my MobiKwik wallet, the balance got deducted but the order failed at your end. I paid for the order thru credit card 2nd time. I contacted both MobiKwik and Blinkit chat support but didn't receive any resolution. MobiKwik agent said that they paid Blinkit and Blinkit agent said that we have not received any payment. I have attached the screenshots of the conversation for reference, please assist. Thanks, Sayan [protected]","Jul 23, 2025",Unresolved,https://www.consumercomplaints.in/blinkit-payment-issue-c3532357
consumercomplaints.in,Blinkit,Fraud compnay unable to contact to customer service and it's been more than 1 week i have not received any call back from cs,"S shilly from Delhi, Delhi Jul 3, 2025 shilly from Delhi, Delhi Jul 3, 2025 Address: dehradun Website: [email protected] Hi, Hi, My order no - 0RD[protected]- portable fan Hi I ordered this on 27 June by mistake and within 2-3 min of ordering it called to delivery boy not to delivered the order because I was not getting an option to cancel the order, at that he didn't reach the store but he told me that I will get a call back from customer service team - I informed them that I m not sure of the product because of height and chargeable as I wanted something different but she but she forced me to pick up the order and said you can return after receiving it. Since I am trying to connect with customer service but unable to do that getting message higher demand and it's been more than 1 week after but I have not received any reply from their customer service email address - [protected]@blinkit.com.","Jul 3, 2025",Unresolved,https://www.consumercomplaints.in/blinkit-fraud-compnay-unable-to-contact-to-customer-service-and-its-been-more-than-1-week-i-have-not-received-any-call-back-from-cs-c3531274
consumercomplaints.in,Blinkit,Striff stylus,Address: Chhatrapati Shivaji Muthian corner new usmanpura dashmeshnagar I ordered a stylus of brand striff it's didn't mentioned any specification regarding compatibility with the device I sent photo and video too that it's not connecting but they said it's not returnable and no refund can be issued...loss of money and product of no use... Blinkit is not good... + 1 videos,"Jun 29, 2025",Unresolved,https://www.consumercomplaints.in/blinkit-striff-stylus-c3531055
consumercomplaints.in,Blinkit,Blinkit delivery guy stolen shoes / no action on the incident by blinkit,"V Veethya from Kozhikode, Kerala Jun 16, 2025 Jun 16, 2025","Jun 16, 2025",Unresolved,https://www.consumercomplaints.in/blinkit-blinkit-delivery-guy-stolen-shoes-no-action-on-the-incident-by-blinkit-c3530413
consumercomplaints.in,Blinkit,"Urgent Complaint Regarding Misleading Advertisement, Poor Customer Support & Request for Refund and Compensation","T tuhinachat27 from Kolkata, West Bengal Jun 4, 2025 tuhinachat27 from Kolkata, West Bengal Jun 4, 2025 tuhinachat27 from Kolkata, West Bengal Address: Gurugram, Plot No. 64 H, 18, Sector Rd, IOC Colony, IMT Manesar, India Website: www.blinkit.com Dear Blinkit Team, I am writing to express my deep frustration and disappointment with a recurring issue I have faced while ordering via the Blinkit app, specifically regarding the product ""Kinder Joy Shaped Chocolates – Batwheels Edition"". This is now the second time I have ordered this product and been misled by false and deceptive advertising. On both occasions, despite the product being titled “Batwheels Edition”, I was delivered the Dinosaur Edition. Timeline of Events: First order: I was informed by your support executive that the mention of ""blue"" referred to the Dinosaur edition, not Batwheels – which was unclear and misleading. Second order (today): The product was clearly titled “Kinder Joy Shaped Chocolates Batwheels” along with other items in my cart. Naturally, I expected to receive the Batwheels edition, but once again, I received the Dinosaur version. I raised a complaint, and Executive Madiha contacted me. She confirmed that a replacement was available for the Batwheels edition and assured me that I would receive the correct product. I reconfirmed this with her, and she guaranteed it. Instead, I was again handed the same Dinosaur version. I contacted support again and spoke with Executive Shristi, who informed me that the third image on the product page states, “product may vary.” This explanation is not only irresponsible, but completely unacceptable. The product title and main image clearly highlight the Batwheels edition, and that is what any reasonable customer would expect to receive. Expecting customers to click through multiple images and interpret vague disclaimers to contradict the actual product title is not just poor design – it’s deceptive marketing. This is false advertising, and it violates consumer trust. Ongoing Issues with Customer Support: Furthermore, every time I raise a complaint with supporting pictures and videos, your system sends an automatic message stating, “We are looking into your issue, ” and within 5 minutes, the complaint is closed without resolution. This forces me to repeatedly restart the conversation, which is exhausting and disrespectful to the customer. My Expectations: This experience has caused me unnecessary mental distress and has completely eroded my trust in your platform. Therefore, I am demanding the following: A full refund for both incorrect orders involving the Kinder Joy Batwheels edition. Compensation for the repeated inconvenience, false promises, time wasted, and mental harassment caused by your misleading advertisements and inefficient support. An official explanation on why such deceptive listings are allowed to continue. Immediate action to correct the misleading product title and listing. A proper resolution protocol where customer complaints are not prematurely closed. This is not about the cost of the product – it’s about basic honesty, transparency, and respect for your customers. If this issue is not addressed properly and promptly, I will escalate this matter through public forums, consumer grievance channels, and social media to ensure that such practices are exposed and corrected. Sincerely, Tuhina Chatterjee [protected] [Order ID(s) - #ORD[protected], #ORD[protected]]","Jun 4, 2025",Closed,https://www.consumercomplaints.in/blinkit-urgent-complaint-regarding-misleading-advertisement-poor-customer-support-request-for-refund-and-compensation-c3529898
consumercomplaints.in,Blinkit,Print out services,"D DeRo from Kalyani, West Bengal Jun 4, 2025 DeRo from Kalyani, West Bengal Jun 4, 2025 DeRo from Kalyani, West Bengal Please improve your printing services. It is a nightmare. I have been sitting and trying to sort through pages for the last 2 hours l. Complaints being raised are not being understood only. Your customer care executives only understand missing pages or torn pages. This is highly unexpected and unprofessional of you. Please either stop your printing services or reduce the number of pages to what you are able to handle. Also, this order reached me in 1.5 hours after being told that it would arrive within 24 minutes","Jun 4, 2025",Unresolved,https://www.consumercomplaints.in/blinkit-print-out-services-c3529862
consumercomplaints.in,Blinkit,Blinkit Store app showing wrong info regarding part time working slots,"B Bikram Kabiraj from North Dumdum, West Bengal May 31, 2025 Bikram Kabiraj from North Dumdum, West Bengal May 31, 2025 Bikram Kabiraj from North Dumdum, West Bengal from North Dumdum, West Bengal I would like to write a complaint about the problem I am facing with the Blinkit Store app. It shows available slots for part-time work but when I call the store manager he says we are all fully Staffed. If that is true how does anyone know which slots are actually available?","May 31, 2025",Unresolved,https://www.consumercomplaints.in/blinkit-blinkit-store-app-showing-wrong-info-regarding-part-time-working-slots-c3529727
consumercomplaints.in,Blinkit,Earpod Oneplus 3,"G gin Simte from Pune, Maharashtra May 21, 2025 gin Simte from Pune, Maharashtra May 21, 2025 gin Simte from Pune, Maharashtra I have updated my home address before i made an order. but, still, agent went to the previous address. later he asked for OTP over the phone and promised to come to deliver the product (Earpod One plus, 5, 500 rs) in the new address. but, after giving the OTP, he denied, and in the App, the product showed 'delivered.' when i raised a complaint, the chat agent terminate the chat, saying, you have given out OTP when it was delivered, so you cannot raised further complaint for non delivery. The agent was cheating. Now, where is my product? I did not receive the product, nor refund, but it the app it is showing delivered. Now i cannot reach them, they dont call me either","May 21, 2025",Unresolved,https://www.consumercomplaints.in/blinkit-earpod-oneplus-3-c3529146
consumercomplaints.in,Blinkit,Refuse to refund excess amount Paid,"I placed an order on Blinkit Details of the transaction Date 23/3/25 Registered mobile no [protected]. #Order No[protected]. Since I did not receive a message regarding the payment deducted through Amazon Pay, I paid the delivery man Rs 420. He did not say it was already paid either. Blinkit has no Customer care number. I emailed them at the email mentioned on Google. 2 days later I received a call asking for permission for them to send me the voucher for the excess amount paid. Ever since that I am waiting. Every email they respond saying Kindly bear with us for the next 24 hours as our concerned team diligently works towards a resolution. Today is 12 days.","Apr 4, 2025",Resolved,https://www.consumercomplaints.in/blinkit-refuse-to-refund-excess-amount-paid-c3527046
consumercomplaints.in,Blinkit,Regarding id activate,I am working with zomato from last 4 years and never do any fraud and cheating in delivering orders cancellation of order do by zomato app if its take long time to reach restaurant in 4 years i have completed almost 8000+ orders and when blinkit zomato another service i transfer zomato id to that paid rs 500 rs and never cancel any order in blinkit than also my id has terminated please start my id and retransfer in zomato please. RAJEEV HARKAWAT FE1253939 BLINKIT,"Jan 9, 2025",Unresolved,https://www.consumercomplaints.in/blinkit-regarding-id-activate-c3523433
consumercomplaints.in,Blinkit,Regarding return policy,"A ardhendushekhar Nov 16, 2024 Nov 16, 2024","Nov 16, 2024",Unresolved,https://www.consumercomplaints.in/blinkit-regarding-return-policy-c3520967
consumercomplaints.in,Blinkit,Customer experience matters: a recent challenge with blinkits refund process,"S Sachit kushwaha Oct 23, 2024 Website: klicknoidaro.com As someone who often appreciates efficient services, I’ve always been impressed by Blinkit’s promise of delivering groceries in 10 minutes. It’s a game-changer when it comes to quick access to daily essentials. 🛒 However, my recent experience with their refund process has left me questioning their approach to customer service, especially when it involves returns or refunds for non-grocery items. I ordered an electronic product through Blinkit, but unfortunately, it turned out to be faulty. While Blinkit’s delivery is fast, their support system is quite the opposite. After returning the product on 14th October 2024, I was told that the refund would be processed within 3 working days. It’s been over 10 days now, and the refund of ₹999 is still pending. Despite several attempts to reach out through their app, I have received no satisfactory response. 📞 The Challenge: Blinkit doesn’t provide a direct customer support number or toll-free service, which makes it extremely difficult to address urgent issues. All communication happens through in-app support, which often results in repeated requests without real progress. 🚚 Why This Matters: A company that promises 10-minute deliveries should strive for the same efficiency when it comes to resolving issues and processing refunds. It’s not just about delivering fast, but also about supporting customers when things don’t go as expected. In contrast, platforms like Amazon and Flipkart excel in providing prompt and reliable customer service. They offer clear refund policies, direct communication channels, and transparency throughout the process — elements that are critical for building customer trust. I hope Blinkit takes this feedback into account and works towards improving their customer support system. After all, a great customer experience doesn’t end with delivery — it continues with how issues are handled afterward.","Oct 23, 2024",Pending,https://www.consumercomplaints.in/blinkit-customer-experience-matters-a-recent-challenge-with-blinkits-refund-process-c3519797
consumercomplaints.in,Blinkit,money refund issue,"S Sonvr from Kolkata, West Bengal May 23, 2024 Sonvr from Kolkata, West Bengal May 23, 2024 Sonvr from Kolkata, West Bengal I placed an order on 16th May 2024 for a SanDisk Ultra 128GB MicroSD Card. However when I received the order I received a SanDisk Ultra 64GB MicroSD card. I raised a complaint and within a few minutes the delivery guy came and took back the wrong item. The customer support whom I was chatting with also initiated the refund and said it will be credited to my source on 21st May 2024, but sadly till now I have not received my refund. The interface on Blinkit app does not even allow me to get in touch with any customer support executive.","May 23, 2024",Unresolved,https://www.consumercomplaints.in/blinkit-money-refund-issue-c3510085
consumercomplaints.in,Blinkit,Non delivery of item,"S Shellyluck Mar 29, 2024 Mar 29, 2024","Mar 29, 2024",Unresolved,https://www.consumercomplaints.in/blinkit-non-delivery-of-item-c3504875
consumercomplaints.in,Blinkit,"Regarding Serious Food Safety, Health, and Unethical Pricing Concerns with Expired Dairy Products from Blinkit","S Shrishti Shrivastava Oct 15, 2023 Shrishti Shrivastava Oct 15, 2023 Address: Plot No 64H, Sector 18, Gurugram, Haryana-122001 #1 Website: blinkit.com Dear Sir/Ma'am, I recently bought a dairy product on reduced price from the Blinkit application. Upon its arrival, I discovered the product was expired, and to my dismay, I not only paid the reduced price but also incurred significant surge and delivery charges. I was looking at Indian consumer complaints forum and found similar complaints about the application.This scenario not only raises serious food safety issues but also highlights unethical pricing strategies employed by Blinkit. As a public health advocate, I find this situation alarming and a serious violation of food safety standards. Furthermore, despite raising the concern and reporting the issue, I have yet to receive a replacement or refund for the expired product. This lack of resolution adds another layer of dissatisfaction and raises questions about Blinkit's commitment to customer welfare. I am mentioning the order and attaching the picture of product and the customer care response for your reference. Order ID:ORD[protected] Kindly look into this matter","Oct 15, 2023",Unresolved,https://www.consumercomplaints.in/blinkit-regarding-serious-food-safety-health-and-unethical-pricing-concerns-with-expired-dairy-products-from-blinkit-c3476493
consumercomplaints.in,Blinkit,Received expired products,"P Parvat2704 from New Delhi, Delhi Oct 8, 2023 Parvat2704 from New Delhi, Delhi Oct 8, 2023 Parvat2704 from New Delhi, Delhi Address: Rajouri Garden Store Website: Blinkit O order ice cream from blinkit app under ORD[protected]. I received expired ice cream. I brought this for my kids. I don't how do they manage there inventory. If would have happened if my kids had eaten it. How will be responsible. They have no support on this.","Oct 8, 2023",Unresolved,https://www.consumercomplaints.in/blinkit-received-expired-products-c3474815
consumercomplaints.in,Blinkit,Deducting tip from customer without their consent or information,"Address: Gurugram Website: Blinkit I ordered some products today from blinkit and they added Rs, 100 as a tip in by bill during checkout without asking me. When i complained to customer service they said they can not do anything about it, Even if you order Rs100 order they are charging 100 as tip apart from night charge delivery charge etc. 100 rs, over and above all of this. This is unacceptable. Their is no option of checkout, Now they are not refunding my money","Sep 10, 2023",Unresolved,https://www.consumercomplaints.in/blinkit-deducting-tip-from-customer-without-their-consent-or-information-c3467835
consumercomplaints.in,Blinkit,Fraud and cheating,"D Deepak@07031991 from Noida, Uttar Pradesh Aug 22, 2023 Aug 22, 2023","Aug 22, 2023",Unresolved,https://www.consumercomplaints.in/blinkit-fraud-and-cheating-c3462770
consumercomplaints.in,Blinkit,Profile verification pending,Hello sir/Mam ID : FE2452635 Phone : [protected] I'm very excited to work with Zomato but my I'd is not being verified since 1 week. I've already uploaded my required documents. Please help me with my profile verification. Thankyou...,"Feb 8, 2023",Resolved,https://www.consumercomplaints.in/blinkit-profile-verification-pending-c3387991
consumercomplaints.in,Blinkit,Fake Ghee sent,"Website: Blinkit I had ordered for ghee on 15th which when i checked was fake, it was dalda instead of ghee...when i complained they told me to wait for 24hrs for a replacement product...it has been a week now and the product is not in stock for blinkit to send me a replacement. I logged a case yesterday asking them for a refund as its been a week now...they again asked me to wait for 24hrs...i again called them today, they said they cant give a refund unless a replacement is issued. What sort of a condition is this? I am fed up with this...i paid trusting the product and the brand and now when i shared pictures with them and told them that i need a refund, they r not ready to give me my own money back for a fake product that is being sold!!!I need support please on this","Nov 22, 2022",Unresolved,https://www.consumercomplaints.in/blinkit-fake-ghee-sent-c3353662
consumercomplaints.in,Blinkit,Blinkit sending expired product to customer and not refunding or exchanging it,"K kanchan kathpalia from Delhi, Delhi Sep 8, 2022 kanchan kathpalia from Delhi, Delhi Sep 8, 2022 kanchan kathpalia from Delhi, Delhi Address: Amanora warehouse es30 Website: blinkit.com Hi, I had ordered the idli dosa batter by iD from blinkit and its from Amanora es30 and its expiry date is 8th September and a product which can be consume in many days and blinkit are sending me 1 day expiry. I demanded full refund or exchange. Order id :- ORD[protected] this is my 3rd experience with them. I have ordered almost 6 times from there. 1) I ordered first time and out which cucumber were missing so they refunded me for that. 2) I asked for exchange or refund of item because they sent me poor quality/spoiled edible. Obviously as customer, I will compliant and they denied to do any action. I let it go.. 3) This 3rd time they crossed the line by sending expired item and telling me. I am attaching email screenshot how they respond to me and what was my respond to them. Blinkit reply from Thank you for connecting with us. ​ We deeply regret the inconvenience this may have caused you. ​ We'd have loved to cater to your request; however, there are multiple checks in our system to detect unusual shopping patterns, such as bulk purchases, and repetitive complaints. Hence, we are unable to cater for your request. Also, we will share your valuable feedback with the respective team as it would help us to address any underlying issues that may occur and assist us in making our services better. ​ We appreciate your understanding in this regard. Assuring you the best possible services. ​ Do let us know if there would be anything else we can help you with, we will be happy to assist. Please rate this interaction in a short survey, which we’ll share post resolving your concern, to help us improve. Regards, Team Blinkit! 16827320:224957 My reply:- Hello, Thanku for letting me know that you can’t refund for the product you send me expired. This is not my problem you purchase in bulk or not. You can’t send anyone expired product and then charge for it and not giving refund. Swiggy and dunzo are better in customer service than you. My money got wasted because i invested in you. I will lodge a complaint in consumer forum against you with this email as proof and tweet. You guys are selling expired products and not refunding it. Plus you guys have no proper customer service or chat support. I am deleting my account from blinkit. I can’t sustain with this worst customer support. the delivery boy delivered my product in 8 mins so high chance store pick items without check expiry date. but what","Sep 8, 2022",Unresolved,https://www.consumercomplaints.in/blinkit-blinkit-sending-expired-product-to-customer-and-not-refunding-or-exchanging-it-c3303207
consumercomplaints.in,Blinkit,Charged more than mrp,"S Shubhi2110 from Lucknow, Uttar Pradesh Aug 28, 2022 Shubhi2110 from Lucknow, Uttar Pradesh Aug 28, 2022 Shubhi2110 from Lucknow, Uttar Pradesh I've been using blinkit past 4 yrs consistently And this is second time happening to me in last 3 months since grofers has changed to blinkit that I've been charged more than mrp... Price for corn charged was rs 89 while the mrp was 80 ... This is seriously unacceptable.. it isn't matter of just 9rs for one single Individual but Every one is being charged more thn mrp .. its just i had noticed it ...that too twice... I let that go previously bcuz the executive said it was a technical glitch and the prices were not updated... And this time too same thing was said... But they were same even after 24 hrs ...so obviously it wasn't any technical glitch.. this is fraud... Instead of discounts nd offers that blinkit claims... charging more than mrp is in itself is not right This is literally unacceptable and breach of trust","Aug 28, 2022",Unresolved,https://www.consumercomplaints.in/blinkit-charged-more-than-mrp-c3291763
consumercomplaints.in,Blinkit,Amount debited but order not placed,"S sunilk80 from Kolkata, West Bengal Aug 20, 2022 sunilk80 from Kolkata, West Bengal Aug 20, 2022 sunilk80 from Kolkata, West Bengal Website: blinkit.com I tried to place an order on Blinkit on 10 august 2022 at 11.01 AM for . The money was deducted from my Simpl account but the order was not successful. The amount was Rs.803/- I tried to contact Blinkit through chat, email, and phone but either way I could not get in touch with them, or even if I did, there was no response from the company. I have not got back my money also. I am sorry to say but this is a clear case of cheating. I have lost trust in Blinkit. I please want my money back. My registered no is [protected]. Please help me","Aug 20, 2022",Resolved,https://www.consumercomplaints.in/blinkit-amount-debited-but-order-not-placed-c3284107
consumercomplaints.in,Blinkit,Salary Not Received,"N nadeem0128 from Hyderabad, Telangana Aug 15, 2022 nadeem0128 from Hyderabad, Telangana Aug 15, 2022 nadeem0128 from Hyderabad, Telangana Hi Sir, My name is Mohammed Nadimullah. I am a delivery partner at blinkit. My id is LG102606 hyderabad. My id has created by placement agent of jarikart organisation agent mani. I am working as delivery partner from last month Madhapur hyderabad branch. Everytime my weekly salary is delaying in crediting to my account. Last week salary still not credited, which need to be credited on 11 August 2022 Thursday. Everytime having the same issue. Pls look into the matter and take the necessary action as soon as possible. Thanks & Regards Md Nadimullah.","Aug 15, 2022",Resolved,https://www.consumercomplaints.in/blinkit-salary-not-received-c3278728
consumercomplaints.in,Blinkit,"Salary not giving, attendance not fixed","A Aed from Bhopal, Madhya Pradesh Aug 14, 2022 Aed from Bhopal, Madhya Pradesh Aug 14, 2022 Aed from Bhopal, Madhya Pradesh Address: Minal residence, bhopal. Website: blinkit.com I used to be a excutive in Blinkit, hired through startech, on 28th july I was informed I was being kicked out without any official mail or relieving letter, they have not given me my salary of july, i worked till 28 i should receive my salary! They even marked me as absent on 1st and 3rd july even tho I was present! All of them are ignoring me, not fixing my attendance or giving salary. Everyone received their salary on 6th August today is 14th August","Aug 14, 2022",Unresolved,https://www.consumercomplaints.in/blinkit-salary-not-giving-attendance-not-fixed-c3278497
consumercomplaints.in,Blinkit,Blinkit - money deducted but order not placed,Website: blinkit.com I placed order today 4 july 2022 in Blinkit through Blinkit app. Money was deducted but Blinkit shows no order placed. I havent received items yet neither got any refund. tried reaching at customer care number but its always busy. Sent emails also but no update.,"Jul 4, 2022",Unresolved,https://www.consumercomplaints.in/blinkit-blinkit-money-deducted-but-order-not-placed-c3234927
consumercomplaints.in,Blinkit,Received damaged product from blinkit,"P Piush shukla from Delhi, Delhi Jun 25, 2022 Piush shukla from Delhi, Delhi Jun 25, 2022 Piush shukla from Delhi, Delhi Address: BLINKIT PRIVATE LIMITED Registered Postal Address on his record is : 1042/2, VISTAR COLONY, MAKNPURINDIRAPURAM. Website: blinkit.com I received the damaged milk bottle from blinkit and I immediately informed the customer care team about the damaged product, the customer care executive ""Omkar"" refused to return the product and talk with rudely to me.","Jun 25, 2022",Resolved,https://www.consumercomplaints.in/blinkit-received-damaged-product-from-blinkit-c3226638
consumercomplaints.in,Blinkit,Items missing and unhygienic delivery blinkit,Address: Blinkit Website: Blinkit Ordo[protected]Have raised serious issues against this order regarding missing items and unhygienic improper way of delivery . Pathetic response by customer support. Heard good review of blinkit but now regretting ordering. Plz issue my refund for this order. Fraudulent company with insensitive crooks as customer support.,"Jun 11, 2022",Resolved,https://www.consumercomplaints.in/blinkit-items-missing-and-unhygienic-delivery-blinkit-c3212664
